mavpackettype,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH,_t,t
XKF1,11264659,0,0.01,0.0,0.01,-0.0007901133503764,0.0007329111103899,0.0875857770442962,0.0039428402669727,0.0,0.0,-0.0178074426949024,0.0,0.0,0.0,0.0,1768451520.220025,8.519924
XKF1,11304643,1,0.0,0.0,0.01,-0.0004515092878136,-0.0002463226846884,0.0874102786183357,0.0030739132780581,0.0,0.0,-0.0168600156903266,0.0,0.0,0.0,0.0,1768451520.260009,8.559908
XKF1,11304643,0,0.01,0.0,0.01,-0.0008212052634917,0.000737634836696,0.0877729505300521,0.0033745581749826,0.0,0.0,-0.01667938567698,0.0,0.0,0.0,0.0,1768451520.260009,8.559908
XKF1,11344627,1,0.0,0.0,0.01,-0.0005241426406428,-0.0002487271849531,0.0877515226602554,0.0254798699170351,0.0,0.0,-0.0146807907149195,0.0,0.0,0.0,0.0,1768451520.299993,8.599892
XKF1,11344627,0,0.01,0.0,0.01,-0.0008834183099679,0.0007941024377942,0.0880986154079437,0.0257574617862701,0.0,0.0,-0.0144890248775482,0.0,0.0,0.0,0.0,1768451520.299993,8.599892
XKF1,11384611,1,0.0,0.0,0.01,-0.0006734212511219,-0.000216757558519,0.0879048332571983,0.0457230843603611,0.0,0.0,-0.0123410103842616,0.0,0.0,0.0,0.0,1768451520.339977,8.639876
XKF1,11384611,0,0.01,0.0,0.01,-0.0009267724817618,0.0008440887904725,0.0883662179112434,0.0461071617901325,0.0,0.0,-0.0121359499171376,0.0,0.0,0.0,0.0,1768451520.339977,8.639876
XKF1,11424595,1,0.0,0.0,0.01,-0.0005993965314701,-0.000168504207977,0.0873890370130539,0.0470185168087482,0.0,0.0,-0.0123054841533303,0.0,0.0,0.0,0.0,1768451520.3799613,8.67986
XKF1,11424595,0,0.01,0.0,0.01,-0.0009748844313435,0.0008926849695853,0.0878035947680473,0.0473324283957481,0.0,0.0,-0.0120878191664814,0.0,0.0,0.0,0.0,1768451520.3799613,8.67986
XKF1,11464579,1,0.0,0.0,0.01,-0.0007068838458508,-0.0001451429998269,0.0868536606431007,0.0312835685908794,0.0,0.0,-0.0119169848039746,0.0,0.0,0.0,0.0,1768451520.4199452,8.719844
XKF1,11464579,0,0.01,0.0,0.01,-0.0010055418824777,0.0009395146043971,0.0872533023357391,0.0315901637077331,0.0,0.0,-0.0116875041276216,0.0,0.0,0.0,0.0,1768451520.4199452,8.719844
XKF1,11504563,1,0.0,0.0,0.01,-0.0007075442699715,-0.0001276315160794,0.0856653451919555,0.0233855079859495,0.0,0.0,-0.0131664173677563,0.0,0.0,0.0,0.0,1768451520.4599292,8.759828
XKF1,11504563,0,0.01,0.0,0.01,-0.0010278351837769,0.000984599115327,0.0860869735479354,0.0237022601068019,0.0,0.0,-0.012926721945405,0.0,0.0,0.0,0.0,1768451520.4599292,8.759828
XKF1,11544547,1,0.0,0.0,0.01,-0.0007594906492158,-7.493825251003727e-05,0.0840224251151084,-0.0191636569797992,0.0,0.0,-0.0158153064548969,0.0,0.0,0.0,0.0,1768451520.4999132,8.799812
XKF1,11544547,0,0.01,0.0,0.01,-0.0010718858102336,0.0009884794708341,0.0844274088740348,-0.018886025995016,0.0,0.0,-0.0155635578557848,0.0,0.0,0.0,0.0,1768451520.4999132,8.799812
XKF1,11584531,1,0.0,0.0,0.01,-0.0007469322299584,-2.086850145133212e-05,0.082518920302391,-0.0464282482862472,0.0,0.0,-0.0179570037871599,0.0,0.0,0.0,0.0,1768451520.5398972,8.839796
XKF1,11584531,0,0.01,0.0,0.01,-0.0011602796148508,0.001025453209877,0.0829166993498802,-0.0466346144676208,0.0,0.0,-0.017625842243433,0.0,0.0,0.0,0.0,1768451520.5398972,8.839796
XKF1,11624515,0,0.01,0.0,0.01,-0.0012270509032532,0.0011075477814301,0.0818989798426628,-0.0501211509108543,0.0,0.0,-0.0180886071175336,0.0,0.0,0.0,0.0,1768451520.5798812,8.87978
XKF1,11624515,1,0.0,0.0,0.01,-0.0008236806606873,8.961195271695033e-05,0.0815330222249031,-0.051500529050827,0.0,0.0,-0.018425703048706,0.0,0.0,0.0,0.0,1768451520.5798812,8.87978
XKF1,11664499,0,0.01,0.0,0.01,-0.0012842803262174,0.0011365743121132,0.0809555053710937,-0.0364617407321929,0.0,0.0,-0.0182067863643169,0.0,0.0,0.0,0.0,1768451520.6198652,8.919764
XKF1,11664499,1,0.0,0.0,0.01,-0.0008796243928372,0.0001063954696292,0.0806130692362785,-0.0375129058957099,0.0,0.0,-0.0185510292649269,0.0,0.0,0.0,0.0,1768451520.6198652,8.919764
XKF1,11704483,0,0.01,0.0,0.01,-0.0013760987203568,0.0011563133448362,0.079897865653038,-0.0215346217155456,0.0,0.0,-0.0184281915426254,0.0,0.0,0.0,0.0,1768451520.6598492,8.959748
XKF1,11704483,1,0.0,0.0,0.01,-0.0009528958471491,0.0001251953945029,0.0796164721250534,-0.0221694018691778,0.0,0.0,-0.0187763329595327,0.0,0.0,0.0,0.0,1768451520.6598492,8.959748
XKF1,11744467,0,0.01,0.0,0.01,-0.0014227568171918,0.0012087936047464,0.0787820741534233,-0.0164308194071054,0.0,0.0,-0.0187249798327684,0.0,0.0,0.0,0.0,1768451520.6998332,8.999732
XKF1,11744467,1,0.0,0.0,0.01,-0.0009900229051709,0.0001857363531598,0.0784339532256126,-0.0168707761913537,0.0,0.0,-0.0190773848444223,0.0,0.0,0.0,0.0,1768451520.6998332,8.999732
XKF1,11784451,1,0.0,0.0,0.01,-0.0010304340394213,0.0002175721165258,0.0773436576128006,-0.0109805362299084,0.0,0.0,-0.0190615393221378,0.0,0.0,0.0,0.0,1768451520.7398171,9.039716
XKF1,11784451,0,0.01,0.0,0.01,-0.0015087997308,0.0012649133568629,0.0777130722999572,-0.0106917610391974,0.0,0.0,-0.0187036097049713,0.0,0.0,0.0,0.0,1768451520.7398171,9.039716
XKF1,11824435,1,0.0,0.0,0.02,-0.0010828825179487,0.000351069815224,0.0749957412481308,-0.0213796757161617,0.0,0.0,-0.0221875701099634,0.0,0.0,0.0,0.0,1768451520.7798011,9.0797
XKF1,11824435,0,0.01,0.0,0.01,-0.0015468440251424,0.0013091195141896,0.0753787159919738,-0.0212034285068511,0.0,0.0,-0.0218261443078517,0.0,0.0,0.0,0.0,1768451520.7798011,9.0797
XKF1,11864419,1,0.01,0.0,0.02,-0.0011681590694934,0.0003375015803612,0.072863683104515,-0.0482565052807331,0.0,0.0,-0.0247430521994829,0.0,0.0,0.0,0.0,1768451520.819785,9.119684
XKF1,11864419,0,0.01,0.0,0.01,-0.0016060232883319,0.0013442444615066,0.0732861384749412,-0.0481227710843086,0.0,0.0,-0.0243756063282489,0.0,0.0,0.0,0.0,1768451520.819785,9.119684
XKF1,11904403,1,0.01,0.0,0.02,-0.0013065581442788,0.000426948769018,0.0712505653500557,-0.0596810206770896,0.0,0.0,-0.0260772444307804,0.0,0.0,0.0,0.0,1768451520.859769,9.159668
