mavpackettype,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,_t,t
IMU,34324598,1,0.7100576758384705,-0.08391249924898148,0.02747063711285591,2.665858030319214,0.4477146863937378,-7.033304214477539,0,0,27.15489959716797,1,1,760,799,1768451543.2799642,32.579463
IMU,34344590,0,0.6909790635108948,-0.09314543753862381,0.027932288125157356,2.668109893798828,0.44911909103393555,-7.09860897064209,0,0,27.156089782714844,1,1,1000,1000,1768451543.299956,32.599455
IMU,34344590,1,0.6914876699447632,-0.09228238463401794,0.02806021086871624,2.65287184715271,0.4282675087451935,-6.9865875244140625,0,0,27.156089782714844,1,1,760,799,1768451543.299956,32.599455
IMU,34364582,1,0.6769110560417175,-0.10509955883026123,0.024281764402985573,2.8082358837127686,0.3161057233810425,-6.762347221374512,0,0,27.15727996826172,1,1,760,799,1768451543.3199482,32.619447
IMU,34364582,0,0.677134096622467,-0.10515620559453964,0.024194013327360153,2.82881236076355,0.4156471788883209,-6.818504810333252,0,0,27.15727996826172,1,1,1000,1000,1768451543.3199482,32.619447
IMU,34384574,1,0.6602117419242859,-0.10364764928817749,0.0304635688662529,2.5963151454925537,0.22559404373168945,-6.603567123413086,0,0,27.15846824645996,1,1,760,799,1768451543.33994,32.639439
IMU,34384574,0,0.6598479151725769,-0.10417240858078003,0.03025401383638382,2.582606554031372,0.2911764085292816,-6.602206230163574,0,0,27.15846824645996,1,1,1000,1000,1768451543.33994,32.639439
IMU,34404566,0,0.6495510935783386,-0.10061273723840714,0.043865617364645004,2.5678093433380127,0.23045110702514648,-6.526054382324219,0,0,27.159658432006836,1,1,1000,1000,1768451543.3599322,32.659431
IMU,34404566,1,0.6496143341064453,-0.1007627323269844,0.04373774304986,2.5912039279937744,0.14009103178977966,-6.57603645324707,0,0,27.159658432006836,1,1,760,799,1768451543.3599322,32.659431
IMU,34424558,0,0.6436301469802856,-0.11447978019714355,0.058325059711933136,2.6262784004211426,-0.036562640219926834,-6.387866020202637,0,0,27.16084861755371,1,1,1000,1000,1768451543.379924,32.679423
IMU,34424558,1,0.6435391902923584,-0.11428991705179214,0.05801431089639664,2.6374106407165527,-0.06638560444116592,-6.480547904968262,0,0,27.16084861755371,1,1,760,799,1768451543.379924,32.679423
IMU,34444550,1,0.6376823782920837,-0.12031925469636917,0.064584881067276,2.45161771774292,-0.13200724124908447,-6.125850200653076,0,0,27.162036895751953,1,1,760,799,1768451543.3999162,32.699415
