mavpackettype_imu,TimeUS_imu,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,_t_imu,t_imu,t_s,mavpackettype_rcou,TimeUS_rcou,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,_t_rcou,t_rcou
IMU,8305010,0,0.00012378247629385442,7.946011464809999e-05,0.0001013616711134091,-0.0025488389655947685,-0.0008147376356646419,-9.817659378051758,0,0,25.538095474243164,1,1,1000,1000,1768451517.2603762,6.559875,6.559875,RCOU,8305010,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.2603762,6.559875
IMU,8325002,0,8.168063504854217e-05,0.0001472707954235375,0.00013029901310801506,-0.0014048297889530659,-0.0008935851510614157,-9.817042350769043,0,0,25.53939437866211,1,1,1000,1000,1768451517.280368,6.579867,6.579867,RCOU,8344994,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3003602,6.599859
IMU,8344994,0,9.838819096330553e-05,0.00018292260938324034,0.00017364668019581586,-0.0015962091274559498,-0.0020459480583667755,-9.817383766174316,0,0,25.540624618530273,1,1,1000,1000,1768451517.3003602,6.599859,6.5998589999999995,RCOU,8344994,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3003602,6.599859
IMU,8364986,0,4.188978346064687e-05,0.00015629093104507774,0.00010720577847678214,-0.0006891533266752958,-0.0008895996725186706,-9.818502426147461,0,0,25.54192352294922,1,1,1000,1000,1768451517.320352,6.619851,6.619851,RCOU,8344994,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3003602,6.599859
IMU,8384978,0,0.00010848738747881725,0.0001281527802348137,0.00012638479529414326,-0.0007085269317030907,-0.001448315684683621,-9.81782054901123,0,0,25.54322052001953,1,1,1000,1000,1768451517.3403442,6.639843,6.639843,RCOU,8384978,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3403442,6.639843
IMU,8404970,0,0.00014104564615990967,7.810242823325098e-05,9.21978207770735e-05,-0.00048706383677199483,-0.0013284021988511086,-9.8174467086792,0,0,25.544517517089844,1,1,1000,1000,1768451517.360336,6.659835,6.659834999999999,RCOU,8384978,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3403442,6.639843
IMU,8424962,0,0.00015426240861415863,0.0001380117901135236,6.291720637818798e-05,-0.0001545136619824916,-0.00035897866473533213,-9.817710876464844,0,0,25.545814514160156,1,1,1000,1000,1768451517.3803282,6.679827,6.6798269999999995,RCOU,8424962,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3803282,6.679827
IMU,8444954,0,5.874121416127309e-05,0.000123938822071068,0.0001531972666271031,-0.0012349269818514585,-0.0008304647053591907,-9.816720962524414,0,0,25.54711151123047,1,1,1000,1000,1768451517.40032,6.699819,6.699819,RCOU,8424962,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3803282,6.679827
IMU,8464946,0,6.358437531162053e-05,9.127613884629682e-05,8.624090696685016e-05,-0.0015878727426752448,-0.0009626401588320732,-9.816824913024902,0,0,25.54840850830078,1,1,1000,1000,1768451517.4203122,6.719811,6.719811,RCOU,8464946,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.4203122,6.719811
IMU,8484938,0,0.0001557352370582521,0.00013485545059666038,8.512220665579662e-05,-0.0018178035970777273,-0.002000406850129366,-9.817008972167969,0,0,25.54970359802246,1,1,1000,1000,1768451517.440304,6.739803,6.739802999999999,RCOU,8464946,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.4203122,6.719811
IMU,8504930,0,8.539035479770973e-05,0.00012006514589302242,0.00018794587231241167,-0.0015394547954201698,-0.0009066924685612321,-9.81745433807373,0,0,25.551000595092773,1,1,1000,1000,1768451517.4602962,6.759795,6.7597949999999996,RCOU,8504930,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.4602962,6.759795
IMU,8524922,1,0.00027913576923310757,0.00012402253923937678,-9.89603677226114e-07,-0.0022701865527778864,-0.0019816954154521227,-9.817203521728516,0,0,25.552297592163086,1,1,760,799,1768451517.480288,6.779787,6.779787,RCOU,8504930,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.4602962,6.759795
IMU,8544914,0,0.00024413345090579242,8.427189459325746e-05,7.201998232631013e-05,-0.0007529229624196887,-0.00015171176346484572,-9.818572044372559,0,0,25.553592681884766,1,1,1000,1000,1768451517.5002801,6.799779,6.799779,RCOU,8544914,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.5002801,6.799779
IMU,8564906,0,0.00016133747703861445,0.00011478942178655416,7.123826071619987e-05,5.127826443640515e-05,-0.0007847523083910346,-9.816624641418457,0,0,25.554889678955078,1,1,1000,1000,1768451517.520272,6.819771,6.819770999999999,RCOU,8544914,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.5002801,6.799779
IMU,8584898,0,9.775285434443504e-05,0.00010407080844743177,4.299302236177027e-05,-0.0009684289107099175,-0.0011191758094355464,-9.816256523132324,0,0,25.55618667602539,1,1,1000,1000,1768451517.5402641,6.839763,6.839763,RCOU,8584898,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.5402641,6.839763
IMU,8604890,0,0.00011366377293597907,0.00014967683819122612,0.00012820411939173937,-0.0010886888485401869,-0.0016984122339636087,-9.818281173706055,0,0,25.557483673095703,1,1,1000,1000,1768451517.5602562,6.859755,6.859755,RCOU,8584898,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.5402641,6.839763
IMU,8624882,1,8.619233994977549e-05,4.345530760474503e-05,4.959748184774071e-05,-0.0029285105410963297,-0.0021464526653289795,-9.815177917480469,0,0,25.558778762817383,1,1,760,799,1768451517.580248,6.879747,6.879747,RCOU,8624882,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.580248,6.879747
IMU,8644874,0,0.00011176119733136147,8.975190576165915e-05,0.00011004804400727153,-0.0009791541378945112,-0.0017434069886803627,-9.818098068237305,0,0,25.560075759887695,1,1,1000,1000,1768451517.6002402,6.899739,6.899738999999999,RCOU,8624882,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.580248,6.879747
IMU,8664866,0,0.0001929985301103443,0.00012000459537375718,0.00011921975965378806,-0.0009436695836484432,-0.0012499780859798193,-9.816514015197754,0,0,25.561370849609375,1,1,1000,1000,1768451517.620232,6.919731,6.919731,RCOU,8664866,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.620232,6.919731
